0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Senior Research Statistician- Data Scientist,75-131 ,4.8,Acuity Insurance,"Sheboygan, WI",1001 to 5000 employees,Company - Private,Insurance Carriers,75,131,103, WI,1,95,0,0,0,0,0,0,0,senior,WI
Data Engineer,75-131 ,3.6,Chef,United States,201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103,US,0,12,0,1,0,0,1,0,1,,WA
Associate Data Scientist,75-131 ,3.3,Puget Sound Energy,"Bothell, WA",1001 to 5000 employees,Company - Private,Utilities,75,131,103, WA,0,21,0,1,1,1,0,0,0,,WA
Business Intelligence Analyst,75-131 ,2.7,Sandhills Global,"Lincoln, NE",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, NE,1,42,1,1,0,0,0,1,0,,NE
Data Scientist,75-131 ,2.7,A Place for Mom,"Overland Park, KS",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,75,131,103, KS,0,20,1,1,0,0,1,0,0,,NY
Data Scientist,75-131 ,2.2,Great-Circle Technologies,"Chantilly, VA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, VA,1,20,1,1,1,1,1,0,0,,VA
Senior Analyst/Data Scientist,75-131 ,3.4,Edmunds.com,"Santa Monica, CA",501 to 1000 employees,Company - Private,Internet,75,131,103, CA,1,54,1,1,0,0,1,1,0,senior,CA
Data Analyst,75-131 ,3.1,"Cambridge Associates, LLC","Boston, MA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,75,131,103, MA,1,47,1,1,0,0,0,0,0,,MA
Machine Learning Engineer,75-131 ,3.4,Liberty Mutual Insurance,"Portsmouth, NH",10000+ employees,Company - Private,Insurance Carriers,75,131,103, NH,0,108,1,1,0,1,1,0,1,,MA
Data Analyst I,75-131 ,2.6,Cenlar,"Ewing, NJ",1001 to 5000 employees,Company - Private,,75,131,103, NJ,1,62,0,0,0,0,0,0,0,,NJ
Scientist - Molecular Biology,75-131 ,5.0,Arsenal Biosciences,"South San Francisco, CA",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,75,131,103, CA,1,1,0,0,0,0,0,0,0,,CA
Data Scientist,75-131 ,4.2,Eversight,"Palo Alto, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,75,131,103, CA,1,7,1,0,0,0,0,0,0,,CA
"Computational Scientist, Machine Learning",75-131 ,4.1,Pfizer,"Cambridge, MA",10000+ employees,Company - Public,Biotech & Pharmaceuticals,75,131,103, MA,0,171,1,1,0,0,1,0,0,,NY
Senior Data Scientist,75-131 ,4.8,Klaviyo,"Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,75,131,103, MA,1,8,0,0,0,0,0,0,0,senior,MA
